,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,2,0,0,1,0
1,0,13,0,0,0,0,1,0,1,0,0,0,0,6,0,0,2,0,1,0,1,2,0,1
2,2,0,17,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,3,0,2,1,0
3,0,0,0,12,0,0,0,0,2,0,3,0,0,2,0,9,0,0,3,0,0,0,1,0
4,0,0,0,0,10,0,0,0,0,2,0,2,2,0,1,1,1,0,0,1,0,0,0,1
5,3,0,0,0,0,15,0,0,0,0,0,0,1,2,0,2,0,1,0,0,2,0,0,0
6,0,0,0,0,0,0,13,0,0,0,0,1,0,1,2,0,1,0,2,0,0,1,0,0
7,1,0,2,0,0,0,0,18,0,0,0,0,0,0,4,1,0,1,0,3,0,0,2,0
8,0,0,0,1,0,0,0,0,11,0,0,0,0,2,1,2,1,0,0,0,5,0,0,1
9,0,0,2,0,0,0,0,0,0,19,0,0,3,0,0,0,1,0,0,2,0,5,0,0
10,0,0,0,0,0,7,0,0,0,0,8,0,1,11,0,4,0,1,1,0,0,0,4,0
11,0,0,0,0,1,0,0,0,0,0,0,9,0,1,4,0,0,0,2,1,0,1,0,1
12,2,0,1,0,1,2,0,1,0,0,0,0,135,1,0,0,0,6,0,11,0,0,0,0
13,0,0,0,0,0,0,1,0,0,0,0,0,1,116,1,0,0,0,4,0,3,0,0,0
14,1,1,2,0,0,0,0,1,0,0,0,0,0,0,123,0,0,0,0,14,1,8,0,0
15,2,0,1,1,0,0,0,0,2,0,0,0,0,0,1,135,0,0,0,0,3,0,7,0
16,0,0,0,0,6,0,2,0,0,3,0,1,0,0,1,3,113,1,0,0,0,26,1,6
17,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,124,0,0,0,0,11,2
18,0,1,0,0,0,0,0,0,0,0,1,0,2,17,0,0,0,1,106,1,1,0,0,3
19,0,0,0,0,0,0,0,1,0,0,0,1,5,0,1,0,0,0,0,117,0,0,0,0
20,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,15,0,0,0,1,111,0,0,0
21,0,1,1,0,0,0,0,0,0,9,0,0,0,0,10,2,0,0,0,0,0,100,1,0
22,2,0,1,0,0,1,0,1,0,1,0,0,0,0,0,10,0,6,0,0,0,0,129,0
23,0,3,0,0,0,1,3,0,1,0,0,4,0,1,0,0,6,0,15,2,0,0,0,102
