,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,8,0,0,0,0,3,0,0,0,0,0,0,9,1,1,3,0,2,0,2,2,0,1,0
1,0,20,0,0,0,0,3,0,0,0,0,0,0,5,1,0,5,0,0,0,0,3,0,0
2,0,0,6,0,0,0,0,0,0,2,0,0,1,0,6,0,2,1,0,4,0,0,3,0
3,0,0,0,6,0,0,0,0,2,0,7,0,0,1,0,5,0,0,0,0,0,0,0,5
4,0,0,0,0,8,0,0,0,0,2,0,1,3,0,1,0,5,0,1,2,0,5,0,1
5,0,0,0,0,0,10,0,0,0,0,5,0,0,3,0,1,1,9,0,0,2,0,0,0
6,0,1,0,0,0,0,13,0,0,0,0,0,0,1,3,0,2,0,2,0,0,0,0,1
7,0,0,1,0,0,0,0,13,0,0,0,0,3,1,1,1,0,1,0,4,0,1,1,0
8,0,2,0,2,0,0,0,0,11,0,0,0,0,0,0,1,3,0,1,0,4,0,0,2
9,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,1,0,2,0,8,0,0
10,0,1,0,0,0,0,0,0,0,0,14,0,0,2,0,1,0,3,1,0,0,0,4,0
11,0,0,0,0,1,0,5,0,0,0,0,8,0,0,1,0,2,0,1,1,0,0,0,6
12,1,0,0,0,1,0,0,1,0,1,0,0,92,2,0,1,0,13,1,16,0,0,0,2
13,0,5,0,0,0,3,1,0,1,0,1,0,1,128,3,0,0,0,4,0,7,1,0,0
14,0,0,3,0,1,0,2,0,0,0,0,0,0,1,108,1,0,2,0,6,0,9,1,0
15,1,0,1,0,0,2,0,2,1,0,4,0,0,0,2,106,2,0,1,0,7,5,9,0
16,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,108,1,0,0,0,7,1,7
17,0,0,0,0,0,0,0,2,0,1,0,0,5,0,0,0,3,121,0,0,0,0,7,0
18,0,2,0,0,0,0,5,0,0,0,3,0,0,16,0,0,0,3,105,1,0,0,0,4
19,0,0,2,0,0,0,0,1,0,1,0,3,4,1,10,0,0,0,2,117,2,0,0,0
20,1,1,0,0,0,0,0,0,1,0,2,0,0,16,5,13,0,0,0,3,119,3,0,0
21,0,0,1,0,1,0,0,0,1,0,0,0,0,0,13,1,11,0,0,0,2,122,0,0
22,0,0,2,0,0,2,0,0,0,0,2,0,0,1,0,8,1,13,0,0,0,2,108,0
23,0,1,0,1,1,0,1,0,0,0,1,2,2,0,0,0,18,2,9,0,0,0,1,113
