,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,70,0,0,0,0,4,0,3,0,0,0,0,9,1,0,9,0,3,0,7,1,0,4,0
1,0,58,0,0,0,0,9,0,2,0,0,0,0,20,0,3,4,0,1,1,7,5,0,1
2,0,0,65,0,0,0,0,7,0,2,0,0,4,0,9,0,1,5,0,7,1,3,4,0
3,0,0,0,44,0,1,1,0,5,0,7,0,0,9,0,23,0,1,10,0,3,0,3,0
4,0,0,0,0,52,0,0,0,0,14,0,2,5,0,3,0,6,0,2,19,0,12,0,3
5,15,0,0,0,0,67,0,0,0,0,0,0,2,4,0,3,0,6,0,3,8,0,5,0
6,0,1,0,0,0,0,66,0,0,0,0,6,1,7,10,0,0,0,13,2,1,9,0,2
7,11,0,3,0,0,0,0,54,0,0,0,0,2,0,2,6,0,1,0,20,0,1,7,0
8,0,8,0,1,0,0,1,0,60,0,0,0,0,9,0,8,0,0,4,0,16,0,1,7
9,1,0,6,0,2,0,0,0,0,59,0,0,14,0,6,1,0,0,0,6,0,10,0,2
10,0,0,0,3,0,10,0,0,0,0,46,0,1,13,0,11,0,2,1,0,2,0,13,0
11,0,0,0,0,4,0,11,0,0,0,0,56,0,1,9,0,3,1,1,16,0,3,0,14
12,17,0,2,0,1,1,0,0,0,2,0,1,480,0,0,0,0,19,3,47,0,0,1,0
13,4,2,0,0,0,2,2,0,3,0,0,0,3,542,1,0,0,0,8,4,37,0,0,0
14,1,0,11,0,0,0,1,3,0,2,0,0,0,2,487,2,0,0,0,55,2,17,0,0
15,6,0,2,2,0,0,0,2,1,0,2,0,0,2,2,518,1,0,0,1,23,1,19,0
16,0,7,0,0,7,0,1,0,2,4,1,2,1,0,0,4,432,0,2,0,0,73,3,32
17,9,0,6,0,3,18,0,2,0,3,0,0,35,1,0,1,1,458,1,1,1,0,48,1
18,2,1,0,2,1,2,9,0,2,0,1,3,4,55,0,0,0,1,496,6,0,0,0,16
19,5,0,2,0,0,0,3,8,0,0,0,0,17,2,18,0,0,0,1,552,1,0,0,0
20,5,1,0,0,0,1,0,3,5,0,0,0,0,33,3,35,0,0,0,4,505,2,1,0
21,1,0,6,0,1,0,3,0,2,7,0,0,0,0,41,4,9,0,0,0,3,532,1,0
22,4,0,3,2,0,6,0,2,0,2,5,0,1,1,0,45,2,16,1,0,2,1,490,0
23,0,1,0,2,3,1,4,0,5,0,2,6,2,2,1,0,29,3,40,1,0,0,2,492
