,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,34,0,0,0,0,7,0,7,0,0,1,0,17,4,1,7,0,13,0,4,6,0,5,1
1,0,60,0,0,0,0,3,0,4,0,0,0,0,8,1,1,6,0,2,1,0,11,0,5
2,0,0,49,0,0,0,0,4,0,10,0,0,5,1,19,0,1,9,0,6,0,5,5,0
3,0,1,0,48,0,0,0,0,11,0,11,0,0,7,0,15,3,2,5,0,2,1,0,7
4,0,0,0,0,44,0,0,0,0,10,0,2,6,0,7,0,25,1,1,8,0,5,1,0
5,0,0,0,0,0,44,0,0,0,0,15,0,0,17,0,3,0,23,0,2,2,0,2,0
6,0,10,0,0,0,0,64,0,0,0,0,0,0,4,7,0,8,0,8,0,1,11,0,3
7,3,0,2,0,0,0,0,47,0,0,0,0,4,2,5,10,0,8,1,21,0,2,7,0
8,0,15,0,0,0,0,0,0,54,0,0,0,0,7,1,1,13,0,2,0,12,1,1,6
9,0,0,2,0,0,0,0,0,0,57,0,0,7,0,5,0,4,12,0,5,0,23,0,1
10,0,0,0,5,0,1,0,0,0,0,71,0,1,10,0,2,2,4,6,0,3,1,6,1
11,0,0,0,0,3,0,10,0,0,1,0,39,1,1,9,0,9,0,0,8,0,10,0,23
12,4,0,2,0,7,3,1,1,0,5,0,1,471,5,0,1,1,44,4,48,1,0,0,4
13,1,14,0,2,0,6,4,0,4,0,4,0,5,483,5,0,3,0,22,4,21,1,0,0
14,0,3,4,0,2,0,7,0,0,2,0,2,0,7,492,7,0,0,0,29,0,45,0,0
15,0,0,2,8,0,3,0,5,2,0,7,0,0,2,6,482,9,2,1,0,29,2,30,1
16,0,4,0,1,4,0,1,0,7,2,0,2,1,0,1,5,491,7,0,2,0,42,0,35
17,0,0,2,0,2,7,0,2,0,10,5,0,30,3,0,0,9,502,5,1,0,0,15,2
18,0,7,0,2,0,1,12,0,4,0,10,1,2,47,2,0,1,7,443,6,0,3,0,47
19,1,0,0,0,0,0,3,3,0,3,0,4,25,7,46,3,1,0,6,481,5,1,2,0
20,4,3,0,3,0,3,0,1,12,0,6,0,0,64,8,41,1,1,1,4,409,7,0,2
21,0,8,0,0,1,0,1,0,2,7,0,3,1,0,28,3,39,3,0,0,1,482,3,0
22,2,0,6,1,0,1,0,3,0,2,15,0,0,0,0,32,10,77,2,1,0,6,430,7
23,0,8,0,5,2,0,6,0,4,0,2,4,3,0,2,0,52,3,27,3,0,1,4,456
